time_s,temperature_C,pwm,heat_cool,safety,heat_pwm_firmware,cool_pwm_firmware,limit_C
0.56,23.67,0,0,OK,0,0,60.00
1.07,23.67,0,0,OK,0,0,60.00
1.57,23.67,0,0,OK,0,0,60.00
2.08,23.67,0,0,OK,0,0,60.00
2.58,23.67,0,0,OK,0,0,60.00
3.09,23.63,0,0,OK,0,0,60.00
3.59,23.59,0,0,OK,0,0,60.00
4.09,23.59,0,0,OK,0,0,60.00
4.60,23.59,0,0,OK,0,0,60.00
5.10,23.59,0,0,OK,0,0,60.00
5.61,23.59,0,0,OK,0,0,60.00
6.11,23.60,0,0,OK,0,0,60.00
6.62,23.65,0,0,OK,0,0,60.00
7.12,23.64,0,0,OK,0,0,60.00
7.63,23.60,0,0,OK,0,0,60.00
8.13,23.59,0,0,OK,0,0,60.00
8.64,23.59,0,0,OK,0,0,60.00
9.14,23.59,0,0,OK,0,0,60.00
9.65,23.59,0,0,OK,0,0,60.00
10.15,23.58,0,0,OK,0,0,60.00
10.66,23.58,0,0,OK,0,0,60.00
11.16,23.56,0,0,OK,0,0,60.00
11.67,23.52,0,0,OK,0,0,60.00
12.18,23.51,0,0,OK,0,0,60.00
12.68,23.51,0,0,OK,0,0,60.00
13.19,23.51,0,0,OK,0,0,60.00
13.69,23.47,0,0,OK,0,0,60.00
14.20,23.44,0,0,OK,0,0,60.00
14.70,23.44,0,0,OK,0,0,60.00
15.21,23.44,0,0,OK,0,0,60.00
15.72,23.44,0,0,OK,0,0,60.00
16.22,23.44,0,0,OK,0,0,60.00
16.73,23.44,0,0,OK,0,0,60.00
17.23,23.44,0,0,OK,0,0,60.00
17.74,23.44,0,0,OK,0,0,60.00
18.24,23.40,0,0,OK,0,0,60.00
18.75,23.37,0,0,OK,0,0,60.00
19.26,23.37,0,0,OK,0,0,60.00
19.76,23.36,0,0,OK,0,0,60.00
20.27,23.36,0,0,OK,0,0,60.00
20.77,23.36,0,0,OK,0,0,60.00
