time_s,temperature_C,pwm,heat_cool,safety,heat_pwm_firmware,cool_pwm_firmware,limit_C
0.56,23.89,0,0,OK,0,0,60.00
1.07,23.88,0,0,OK,0,0,60.00
1.57,23.87,0,0,OK,0,0,60.00
2.08,23.86,0,0,OK,0,0,60.00
2.58,23.85,0,0,OK,0,0,60.00
3.09,23.84,0,0,OK,0,0,60.00
3.59,23.82,0,0,OK,0,0,60.00
4.09,23.82,0,0,OK,0,0,60.00
4.60,23.80,0,0,OK,0,0,60.00
5.10,23.79,0,0,OK,0,0,60.00
5.61,23.78,0,0,OK,0,0,60.00
6.11,23.77,0,0,OK,0,0,60.00
6.62,23.76,0,0,OK,0,0,60.00
7.12,23.75,0,0,OK,0,0,60.00
7.63,23.74,0,0,OK,0,0,60.00
8.13,23.74,0,0,OK,0,0,60.00
8.64,23.73,0,0,OK,0,0,60.00
9.14,23.72,0,0,OK,0,0,60.00
9.65,23.71,0,0,OK,0,0,60.00
10.15,23.70,0,0,OK,0,0,60.00
10.66,23.69,0,0,OK,0,0,60.00
11.16,23.68,0,0,OK,0,0,60.00
11.67,23.67,0,0,OK,0,0,60.00
12.18,23.66,0,0,OK,0,0,60.00
12.68,23.65,0,0,OK,0,0,60.00
13.19,23.65,0,0,OK,0,0,60.00
13.69,23.64,0,0,OK,0,0,60.00
14.20,23.63,0,0,OK,0,0,60.00
14.70,23.62,0,0,OK,0,0,60.00
15.21,23.61,0,0,OK,0,0,60.00
15.72,23.60,0,0,OK,0,0,60.00
16.22,23.59,0,0,OK,0,0,60.00
16.73,23.58,0,0,OK,0,0,60.00
17.23,23.58,0,0,OK,0,0,60.00
17.74,23.57,0,0,OK,0,0,60.00
18.24,23.56,0,0,OK,0,0,60.00
18.75,23.55,0,0,OK,0,0,60.00
19.26,23.54,0,0,OK,0,0,60.00
19.76,23.53,0,0,OK,0,0,60.00
20.27,23.52,0,0,OK,0,0,60.00
20.77,23.52,0,0,OK,0,0,60.00
21.28,23.51,0,0,OK,0,0,60.00
21.78,23.50,0,0,OK,0,0,60.00
22.29,23.49,0,0,OK,0,0,60.00
22.80,23.48,0,0,OK,0,0,60.00
23.30,23.48,0,0,OK,0,0,60.00
23.81,23.47,0,0,OK,0,0,60.00
24.31,23.46,0,0,OK,0,0,60.00
24.82,23.45,0,0,OK,0,0,60.00
25.32,23.44,0,0,OK,0,0,60.00
25.83,23.44,0,0,OK,0,0,60.00
26.34,23.43,0,0,OK,0,0,60.00
26.84,23.42,0,0,OK,0,0,60.00
27.35,23.41,0,0,OK,0,0,60.00
27.85,23.41,0,0,OK,0,0,60.00
28.36,23.40,0,0,OK,0,0,60.00
28.87,23.39,0,0,OK,0,0,60.00
29.37,23.38,0,0,OK,0,0,60.00
29.88,23.37,0,0,OK,0,0,60.00
30.38,23.37,0,0,OK,0,0,60.00
30.89,23.36,0,0,OK,0,0,60.00
31.39,23.35,0,0,OK,0,0,60.00
31.90,23.35,0,0,OK,0,0,60.00
32.41,23.34,0,0,OK,0,0,60.00
32.91,23.33,0,0,OK,0,0,60.00
33.42,23.32,0,0,OK,0,0,60.00
33.92,23.32,0,0,OK,0,0,60.00
34.43,23.31,0,0,OK,0,0,60.00
34.94,23.30,0,0,OK,0,0,60.00
35.44,23.30,0,0,OK,0,0,60.00
35.95,23.29,0,0,OK,0,0,60.00
36.45,23.29,0,0,OK,0,0,60.00
36.96,23.28,0,0,OK,0,0,60.00
37.47,23.27,0,0,OK,0,0,60.00
37.97,23.27,0,0,OK,0,0,60.00
38.48,23.26,0,0,OK,0,0,60.00
38.98,23.25,0,0,OK,0,0,60.00
39.49,23.25,0,0,OK,0,0,60.00
39.99,23.24,0,0,OK,0,0,60.00
40.50,23.23,0,0,OK,0,0,60.00
41.01,23.23,0,0,OK,0,0,60.00
41.51,23.22,0,0,OK,0,0,60.00
42.02,23.21,0,0,OK,0,0,60.00
42.52,23.21,0,0,OK,0,0,60.00
43.03,23.20,0,0,OK,0,0,60.00
43.53,23.20,0,0,OK,0,0,60.00
44.04,23.19,0,0,OK,0,0,60.00
44.55,23.18,0,0,OK,0,0,60.00
45.05,23.18,0,0,OK,0,0,60.00
45.56,23.17,0,0,OK,0,0,60.00
46.06,23.16,0,0,OK,0,0,60.00
46.57,23.16,0,0,OK,0,0,60.00
47.08,23.15,0,0,OK,0,0,60.00
47.58,23.15,0,0,OK,0,0,60.00
48.09,23.14,0,0,OK,0,0,60.00
48.59,23.13,0,0,OK,0,0,60.00
49.10,23.13,0,0,OK,0,0,60.00
49.60,23.12,0,0,OK,0,0,60.00
50.11,23.12,0,0,OK,0,0,60.00
50.62,23.11,0,0,OK,0,0,60.00
51.12,23.11,0,0,OK,0,0,60.00
51.63,23.10,0,0,OK,0,0,60.00
52.13,23.09,0,0,OK,0,0,60.00
