time_s,temperature_C,pwm,heat_cool
0.50,22.76,0,0
1.00,22.76,0,0
1.50,22.76,0,0
2.00,22.76,0,0
2.50,22.76,0,0
3.00,22.82,0,0
3.50,22.83,0,0
4.00,22.83,0,0
4.50,22.84,0,0
5.00,22.91,0,0
5.50,22.91,0,0
6.00,22.91,0,0
6.50,22.98,0,0
7.00,22.98,0,0
7.50,22.98,0,0
8.00,22.98,0,0
8.50,22.98,0,0
9.00,22.98,0,0
9.50,22.98,0,0
10.00,22.98,0,0
10.50,22.98,0,0
11.00,22.98,0,0
11.50,22.97,0,0
12.00,22.92,0,0
12.50,22.91,0,0
13.00,22.91,0,0
13.50,22.91,0,0
14.00,22.91,0,0
14.50,22.91,0,0
15.00,22.91,0,0
15.50,22.91,0,0
16.00,22.91,0,0
16.50,22.91,0,0
17.00,22.91,0,0
17.50,22.91,0,0
18.00,22.90,0,0
18.50,22.87,0,0
19.00,22.84,0,0
19.50,22.84,0,0
20.00,22.84,0,0
20.50,22.84,0,0
21.00,22.84,0,0
21.50,22.84,0,0
22.00,22.83,0,0
22.50,22.83,0,0
23.00,22.83,0,0
23.50,22.83,0,0
24.00,22.83,0,0
24.50,22.83,0,0
25.00,22.83,0,0
25.50,22.83,0,0
26.00,22.83,0,0
26.50,22.83,0,0
27.00,22.83,0,0
27.50,22.83,0,0
28.00,22.83,0,0
28.50,22.83,0,0
29.00,22.83,0,0
29.50,22.83,0,0
30.00,22.83,0,0
30.50,22.83,0,0
31.00,22.83,0,0
31.50,22.83,0,0
32.00,22.83,0,0
32.50,22.83,0,0
33.00,22.83,0,0
33.50,22.83,0,0
34.00,22.83,0,0
34.50,22.83,0,0
35.00,22.83,0,0
35.50,22.83,0,0
36.00,22.83,0,0
36.50,22.83,0,0
37.00,22.83,0,0
37.50,22.83,0,0
38.00,22.83,0,0
38.50,22.83,0,0
39.00,22.83,0,0
39.50,22.83,0,0
40.00,22.83,0,0
40.50,22.83,0,0
41.00,22.83,0,0
41.50,22.83,0,0
42.00,22.83,0,0
42.50,22.83,0,0
43.00,22.83,0,0
43.50,22.83,0,0
44.00,22.83,0,0
44.50,22.83,0,0
45.00,22.83,0,0
45.50,22.83,0,0
46.00,22.83,0,0
46.50,22.83,0,0
47.00,22.83,0,0
47.50,22.83,0,0
48.00,22.83,0,0
48.50,22.83,0,0
49.00,22.83,0,0
49.50,22.83,0,0
50.00,22.83,0,0
50.50,22.83,0,0
51.00,22.83,0,0
51.50,22.83,0,0
52.00,22.83,0,0
52.50,22.83,0,0
53.00,22.83,0,0
53.50,22.83,0,0
54.00,22.83,0,0
54.50,22.83,0,0
55.00,22.83,0,0
55.50,22.83,0,0
56.00,22.83,0,0
56.50,22.83,0,0
57.00,22.83,0,0
57.50,22.83,0,0
58.00,22.83,0,0
58.50,22.83,0,0
59.00,22.83,0,0
59.50,22.83,0,0
60.00,22.83,0,0
60.50,22.83,0,0
61.00,22.83,0,0
61.50,22.83,0,0
62.00,22.83,0,0
62.50,22.83,0,0
63.00,22.83,0,0
63.50,22.83,0,0
64.00,22.83,0,0
64.50,22.83,0,0
65.00,22.83,0,0
65.50,22.83,0,0
66.00,22.83,0,0
66.50,22.83,0,0
67.00,22.83,0,0
67.50,22.83,0,0
68.00,22.83,0,0
68.50,22.83,0,0
69.00,22.83,0,0
69.50,22.83,0,0
