time_s,temperature_C,pwm,heat_cool,safety,heat_pwm_firmware,cool_pwm_firmware,limit_C
0.56,23.07,0,0,SHUTDOWN,0,0,20.00
1.07,23.06,0,0,SHUTDOWN,0,0,20.00
1.58,23.06,0,0,SHUTDOWN,0,0,20.00
2.10,23.06,0,0,SHUTDOWN,0,0,20.00
2.61,23.07,0,0,SHUTDOWN,0,0,20.00
3.12,23.06,0,0,SHUTDOWN,0,0,20.00
3.63,23.07,0,0,SHUTDOWN,0,0,20.00
4.14,23.06,0,0,SHUTDOWN,0,0,20.00
4.65,23.07,0,0,SHUTDOWN,0,0,20.00
5.16,23.06,0,0,SHUTDOWN,0,0,20.00
5.67,23.06,0,0,SHUTDOWN,0,0,20.00
6.18,23.06,0,0,SHUTDOWN,0,0,20.00
6.69,23.06,0,0,SHUTDOWN,0,0,20.00
7.21,23.06,0,0,SHUTDOWN,0,0,20.00
7.72,23.07,0,0,SHUTDOWN,0,0,20.00
8.23,23.06,0,0,SHUTDOWN,0,0,20.00
8.74,23.06,0,0,SHUTDOWN,0,0,20.00
9.25,23.06,0,0,SHUTDOWN,0,0,20.00
9.76,23.06,0,0,SHUTDOWN,0,0,20.00
10.27,23.06,0,0,SHUTDOWN,0,0,20.00
10.78,23.06,0,0,SHUTDOWN,0,0,20.00
11.30,23.06,0,0,SHUTDOWN,0,0,20.00
11.81,23.06,0,0,SHUTDOWN,0,0,20.00
12.32,23.06,0,0,SHUTDOWN,0,0,20.00
12.83,23.06,0,0,SHUTDOWN,0,0,20.00
13.35,23.06,0,0,SHUTDOWN,0,0,20.00
13.86,23.06,0,0,SHUTDOWN,0,0,20.00
14.37,23.06,0,0,SHUTDOWN,0,0,20.00
14.88,23.07,0,0,SHUTDOWN,0,0,20.00
15.39,23.06,0,0,SHUTDOWN,0,0,20.00
15.90,23.06,0,0,SHUTDOWN,0,0,20.00
16.42,23.06,0,0,SHUTDOWN,0,0,20.00
16.93,23.06,0,0,SHUTDOWN,0,0,20.00
17.44,23.06,0,0,SHUTDOWN,0,0,20.00
17.95,23.06,0,0,SHUTDOWN,0,0,20.00
18.47,23.06,0,0,SHUTDOWN,0,0,20.00
18.98,23.06,0,0,SHUTDOWN,0,0,20.00
19.49,23.06,0,0,SHUTDOWN,0,0,20.00
20.00,23.06,0,0,SHUTDOWN,0,0,20.00
20.51,23.06,0,0,SHUTDOWN,0,0,20.00
21.03,23.06,0,0,SHUTDOWN,0,0,20.00
21.54,23.06,0,0,SHUTDOWN,0,0,20.00
22.05,23.06,0,0,SHUTDOWN,0,0,20.00
22.56,23.06,0,0,SHUTDOWN,0,0,20.00
23.07,23.06,0,0,SHUTDOWN,0,0,20.00
23.59,23.06,0,0,SHUTDOWN,0,0,20.00
24.10,23.06,0,0,SHUTDOWN,0,0,20.00
24.61,23.06,0,0,SHUTDOWN,0,0,20.00
25.12,23.06,0,0,SHUTDOWN,0,0,20.00
25.63,23.06,0,0,SHUTDOWN,0,0,20.00
26.15,23.06,0,0,SHUTDOWN,0,0,20.00
26.66,23.06,0,0,SHUTDOWN,0,0,20.00
27.17,23.06,0,0,SHUTDOWN,0,0,20.00
27.68,23.06,0,0,SHUTDOWN,0,0,20.00
28.20,23.06,0,0,SHUTDOWN,0,0,20.00
28.71,23.06,0,0,SHUTDOWN,0,0,20.00
29.22,23.06,0,0,SHUTDOWN,0,0,20.00
29.73,23.06,0,0,SHUTDOWN,0,0,20.00
30.24,23.06,0,0,SHUTDOWN,0,0,20.00
30.76,23.06,0,0,SHUTDOWN,0,0,20.00
31.27,23.06,0,0,SHUTDOWN,0,0,20.00
31.78,23.06,0,0,SHUTDOWN,0,0,20.00
32.29,23.06,0,0,SHUTDOWN,0,0,20.00
32.81,23.06,0,0,SHUTDOWN,0,0,20.00
33.32,23.06,0,0,SHUTDOWN,0,0,20.00
33.83,23.06,0,1,SHUTDOWN,0,0,20.00
34.35,23.06,0,1,SHUTDOWN,0,0,20.00
34.86,23.06,0,1,SHUTDOWN,0,0,20.00
35.37,23.06,0,1,SHUTDOWN,0,0,20.00
35.88,23.06,0,1,SHUTDOWN,0,0,20.00
36.40,23.06,0,1,SHUTDOWN,0,0,20.00
36.92,23.06,0,1,SHUTDOWN,0,0,20.00
37.43,23.06,0,1,SHUTDOWN,0,0,20.00
37.94,23.06,0,1,SHUTDOWN,0,0,20.00
38.46,23.06,0,1,SHUTDOWN,0,0,20.00
38.97,23.06,0,1,SHUTDOWN,0,0,20.00
39.48,23.06,0,1,SHUTDOWN,0,0,20.00
39.99,23.06,0,1,SHUTDOWN,0,0,20.00
40.50,23.06,0,1,SHUTDOWN,0,0,20.00
41.02,23.06,0,1,SHUTDOWN,0,0,20.00
41.53,23.06,0,1,SHUTDOWN,0,0,20.00
42.04,23.06,0,1,SHUTDOWN,0,0,20.00
42.55,23.06,0,1,SHUTDOWN,0,0,20.00
43.06,23.06,0,1,SHUTDOWN,0,0,20.00
43.58,23.06,0,1,SHUTDOWN,0,0,20.00
44.09,23.06,0,1,SHUTDOWN,0,0,20.00
44.60,23.06,0,1,SHUTDOWN,0,0,20.00
45.11,23.06,0,1,SHUTDOWN,0,0,20.00
45.63,23.06,0,1,SHUTDOWN,0,0,20.00
46.14,23.06,0,1,SHUTDOWN,0,0,20.00
46.65,23.06,0,1,SHUTDOWN,0,0,20.00
47.16,23.06,0,1,SHUTDOWN,0,0,20.00
47.67,23.06,0,1,SHUTDOWN,0,0,20.00
48.19,23.06,0,1,SHUTDOWN,0,0,20.00
48.70,23.06,0,1,SHUTDOWN,0,0,20.00
49.21,23.06,0,1,SHUTDOWN,0,0,20.00
49.72,23.06,0,1,SHUTDOWN,0,0,20.00
50.23,23.06,0,1,SHUTDOWN,0,0,20.00
50.75,23.06,0,1,SHUTDOWN,0,0,20.00
51.26,23.06,0,1,SHUTDOWN,0,0,20.00
51.77,23.06,0,1,SHUTDOWN,0,0,20.00
52.28,23.06,0,1,SHUTDOWN,0,0,20.00
52.79,23.06,0,1,SHUTDOWN,0,0,20.00
53.31,23.06,0,1,SHUTDOWN,0,0,20.00
53.82,23.06,0,1,SHUTDOWN,0,0,20.00
54.33,23.06,0,1,SHUTDOWN,0,0,20.00
54.84,23.06,0,1,SHUTDOWN,0,0,20.00
55.36,23.06,0,1,SHUTDOWN,0,0,20.00
55.87,23.06,0,1,SHUTDOWN,0,0,20.00
56.38,23.06,0,1,SHUTDOWN,0,0,20.00
56.89,23.06,0,1,SHUTDOWN,0,0,20.00
57.40,23.06,0,1,SHUTDOWN,0,0,20.00
57.92,23.06,0,1,SHUTDOWN,0,0,20.00
58.43,23.06,0,1,SHUTDOWN,0,0,20.00
58.94,23.06,0,1,SHUTDOWN,0,0,20.00
59.45,23.06,0,1,SHUTDOWN,0,0,20.00
59.96,23.06,0,1,SHUTDOWN,0,0,20.00
60.48,23.06,0,1,SHUTDOWN,0,0,20.00
60.99,23.06,0,1,SHUTDOWN,0,0,20.00
61.50,23.06,0,1,SHUTDOWN,0,0,20.00
62.01,23.06,0,1,SHUTDOWN,0,0,20.00
62.52,23.06,0,1,SHUTDOWN,0,0,20.00
63.04,23.06,0,1,SHUTDOWN,0,0,20.00
63.55,23.06,0,1,SHUTDOWN,0,0,20.00
64.06,23.06,0,1,SHUTDOWN,0,0,20.00
64.57,23.06,0,1,SHUTDOWN,0,0,20.00
65.08,23.06,0,1,SHUTDOWN,0,0,20.00
65.60,23.06,0,1,SHUTDOWN,0,0,20.00
66.11,23.06,0,1,SHUTDOWN,0,0,20.00
66.62,23.06,0,1,SHUTDOWN,0,0,20.00
67.13,23.06,0,1,SHUTDOWN,0,0,20.00
